0.01	2.979597643
0.02	2.633024053
0.03	2.430291499
0.04	2.286450463
0.05	2.174878687
0.06	2.083717909
0.07	2.006642569
0.08	1.939876872
0.09	1.880985355
0.1	1.828305097
0.11	1.780650007
0.12	1.737144318
0.13	1.697122965
0.14	1.660068978
0.15	1.625572543
0.16	1.593303282
0.17	1.562990971
0.18	1.534411764
0.19	1.507378154
0.2	1.481731506
0.21	1.457336424
0.22	1.434076417
0.23	1.411850535
0.24	1.390570728
0.25	1.370159731
0.26	1.350549374
0.27	1.33167921
0.28	1.313495388
0.29	1.295949728
0.3	1.278998952
0.31	1.262604041
0.32	1.246729692
0.33	1.231343863
0.34	1.216417381
0.35	1.201923613
0.36	1.187838174
0.37	1.174138687
0.38	1.160804563
0.39	1.14781682
0.4	1.135157916
0.41	1.12281161
0.42	1.110762834
0.43	1.098997585
0.44	1.087502826
0.45	1.076266398
0.46	1.065276945
0.47	1.054523842
0.48	1.043997138
0.49	1.033687494
0.5	1.023586141
0.51	1.013684827
0.52	1.003975784
0.53	0.994451686
0.54	0.98510562
0.55	0.975931051
0.56	0.966921798
0.57	0.958072009
0.58	0.949376138
0.59	0.940828921
0.6	0.932425362
0.61	0.924160711
0.62	0.916030451
0.63	0.90803028
0.64	0.900156102
0.65	0.892404008
0.66	0.884770272
0.67	0.877251334
0.68	0.869843791
0.69	0.862544391
0.7	0.855350022
0.71	0.848257705
0.72	0.833051128
0.73	0.823959217
0.74	0.814524135
0.75	0.804718956
0.76	0.794513458
0.77	0.783873554
0.78	0.772760613
0.79	0.761130609
0.8	0.748933068
0.81	0.736109745
0.82	0.722592939
0.83	0.708303336
0.84	0.693147181
0.85	0.67701255
0.86	0.659764332
0.87	0.641237339
0.88	0.621226662
0.89	0.599473818
0.9	0.575646273
0.91	0.549306144
0.92	0.519860385
0.93	0.486477537
0.94	0.447939867
0.95	0.402359478
0.96	0.34657359
0.97	0.274653072
0.98	0.173286795
0.99	0.1
1	0
